Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Fred Beasley,1.0,1.0,11.0,0.0,11.0,11.0,1998
Greg Comella,4.0,1.0,3.0,0.0,3.0,0.8,1998
Keith Elias,1.0,1.0,11.0,0.0,11.0,11.0,1998
Chris Floyd,2.0,1.0,6.0,0.0,6.0,3.0,1998
Scott Greene,1.0,1.0,2.0,0.0,2.0,2.0,1998
Craig Heyward,1.0,1.0,9.0,0.0,9.0,9.0,1998
Greg Hill,2.0,1.0,6.0,0.0,6.0,3.0,1998
Chris Howard,1.0,1.0,3.0,0.0,3.0,3.0,1998
George Jones,2.0,1.0,9.0,0.0,9.0,4.5,1998
Jonathan Linton,3.0,1.0,10.0,0.0,10.0,3.3,1998
Dave Meggett,3.0,1.0,15.0,0.0,15.0,5.0,1998
Ronald Moore,1.0,1.0,1.0,0.0,1.0,1.0,1998
Ken Oxendine,1.0,1.0,11.0,0.0,11.0,11.0,1998
Wilmont Perry,6.0,1.0,2.0,0.0,2.0,0.3,1998
Moe Williams,1.0,1.0,64.0,0.0,64.0,64.0,1998
Reggie Brown,0.0,0.0,0.0,0.0,0.0,0.0,1998
Kenyon Cotton,0.0,0.0,0.0,0.0,0.0,0.0,1998
Jerry Ellison,0.0,0.0,0.0,0.0,0.0,0.0,1998
Harold Morrow,0.0,0.0,0.0,0.0,0.0,0.0,1998
Michael Pittman,0.0,0.0,0.0,0.0,0.0,0.0,1998
Nicky Sualua,1.0,0.0,0.0,0.0,0.0,0.0,1998
Tyrone Wheatley,0.0,0.0,0.0,0.0,0.0,0.0,1998
Jermaine Williams,2.0,0.0,0.0,0.0,0.0,0.0,1998
Pooh Bear Williams,0.0,0.0,0.0,0.0,0.0,0.0,1998
